region_1_US,region_2
Yakima Valley,Columbia Valley
Western Cape,
Adelaide,
South Australia,
Colchagua Valley,
Barbera d'Asti,
Piedmont,
Robertson,
Alta Mesa,Central Valley
Côtes de Provence,
Lodi,Central Valley
Western Cape,
Alexander Valley,Sonoma
Paso Robles,Central Coast
Paso Robles,Central Coast
Upper Galilee,
Samson,
Barbera d'Alba,
Bierzo,
Napa Valley,Napa
Willamette Valley,Willamette Valley
Alentejano,
Napa Valley,Napa
Veneto Orientale,
Gattinara,
Dry Creek Valley,Sonoma
Russian River Valley,Sonoma
Dry Creek Valley,Sonoma
Dry Creek Valley,Sonoma
Willamette Valley,Willamette Valley
Ribera del Duero,
Dundee Hills,Willamette Valley
Dundee Hills,Willamette Valley
Ribatejano,
Dolcetto di Dogliani,
Napa Valley,Napa
Santa Cruz Mountains,Central Coast
Santa Cruz Mountains,Central Coast
Alentejano,
Santa Maria Valley,Central Coast
Sonoma County,Sonoma
Toro,
Heathcote,
Barbaresco,
Willamette Valley,Willamette Valley
Barbaresco,
Douro,
Grampians,
Southern Oregon,Southern Oregon
Douro,
Barolo,
Alsace,
Barolo,
Alsace,
Alsace,
Barolo,
Barolo,
Barolo,
Willamette Valley,Willamette Valley
Barbaresco,
Barolo,
St. Helena,Napa
Barolo,
Barolo,
Barbaresco,
Barbaresco,
Barolo,
Sonoma Coast,Sonoma
Cahors,
Paso Robles,Central Coast
Napa Valley,Napa
Napa Valley,Napa
Margaret River,
Mendoza,
North Fork of Long Island,Long Island
Livermore Valley,Central Coast
North Fork of Long Island,Long Island
Somontano,
Gavi di Gavi,
North Fork of Long Island,Long Island
Finger Lakes,Finger Lakes
"The Hamptons, Long Island",Long Island
Brachetto d'Acqui,
Paso Robles,Central Coast
Mendoza,
Temecula,South Coast
Monterey County,Central Coast
Columbia Valley (WA),Columbia Valley
Sonoma Valley,Sonoma
Paso Robles,Central Coast
Contra Costa County,Central Coast
Temecula,South Coast
Maipo Valley,
Maipo Valley,
Marlborough,
Amador County,Sierra Foothills
Paso Robles,Central Coast
California,California Other
Molina,
Mendoza,
Colchagua Valley,
Maule Valley,
Casorzo,
Hawke's Bay,
Bourgogne,
Colchagua Valley,
Colli Orientali del Friuli,
Cachapoal Valley,
Mendoza,
California,California Other
Shenandoah Valley (CA),Sierra Foothills
San Juan,
Côte Chalonnaise,
Alsace,
Shenandoah Valley (CA),Sierra Foothills
Sicilia,
Sonoma County,Sonoma
Russian River Valley,Sonoma
Paso Robles,Central Coast
Luján de Cuyo,
Isola dei Nuraghi,
Carignano del Sulcis,
Yountville,Napa
Irpinia,
Dry Creek Valley,Sonoma
Coonawarra,
Coonawarra,
Chablis,
Sonoma Coast,Sonoma
Luján de Cuyo,
Santa Lucia Highlands,Central Coast
Coonawarra,
California,California Other
Chablis,
Barossa,
Sicilia,
Dry Creek Valley,Sonoma
Alghero,
Chablis,
Chablis,
Dundee Hills,Willamette Valley
Russian River Valley,Sonoma
Clare Valley,
Mendoza,
El Dorado,Sierra Foothills
Anjou,
Maipo Valley,
Sonoma Valley,Sonoma
Maule Valley,
Colchagua Valley,
Colchagua Valley,
Curicó Valley,
Paso Robles,Central Coast
Alexander Valley,Sonoma
Sonoma Valley,Sonoma
Maipo Valley,
Colchagua Valley,
Western Cape,
Maule Valley,
Howell Mountain,Napa
Paso Robles,Central Coast
Yakima Valley,Columbia Valley
Barbera d'Asti,
Hawke's Bay,
Casablanca Valley,
Barbera d'Asti Superiore,
Vin de Pays des Côtes de Gascogne,
Wahluke Slope,Columbia Valley
Curicó Valley,
Amador County,Sierra Foothills
Red Hills Lake County,Mendocino/Lake Counties
Russian River Valley,Sonoma
Walla Walla Valley (WA),Columbia Valley
Santa Ynez Valley,Central Coast
Dry Creek Valley,Sonoma
Yarra Valley,
Côtes de Provence,
Russian River Valley,Sonoma
Adelaide,
Upper Galilee,
Upper Galilee,
Western Cape,
Napa Valley,Napa
Okanagan Valley,
Stags Leap District,Napa
Champagne,
Santa Lucia Highlands,Central Coast
Rosso Conero,
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Champagne,
Tokaji,
Paso Robles,Central Coast
Amarone della Valpolicella Classico,
Champagne,
Alto Adige,
Carneros,Napa-Sonoma
Montepulciano d'Abruzzo,
Falerio,
Carneros,Napa-Sonoma
Columbia Valley (WA),Columbia Valley
Paso Robles,Central Coast
Okanagan Valley,
Tokaji,
Champagne,
Columbia Gorge (OR),Oregon Other
Saint-Émilion,
Châteauneuf-du-Pape,
Willamette Valley,Willamette Valley
Chehalem Mountains,Willamette Valley
Saint-Julien,
Paso Robles,Central Coast
Chehalem Mountains,Willamette Valley
Alentejo,
Dundee Hills,Willamette Valley
Rheingau,
Lisboa,
Alentejano,
Mosel-Saar-Ruwer,
Chehalem Mountains,Willamette Valley
Padthaway,
Napa Valley,Napa
Villány,
Sierra Foothills,Sierra Foothills
Temecula,South Coast
Villány,
Maule Valley,
Hungary,
South Eastern Australia,
Pyrenees,
San Juan,
Contra Costa County,Central Coast
Colchagua Valley,
Napa Valley,Napa
Amador County,Sierra Foothills
Russian River Valley,Sonoma
Amarone della Valpolicella Classico,
Anjou,
Mosel-Saar-Ruwer,
Mosel-Saar-Ruwer,
Monterey,Central Coast
Burgenland,
Russian River Valley,Sonoma
Mittelburgenland,
Donauland,
Paso Robles,Central Coast
Burgenland,
Thermenregion,
Mendoza,
Amarone della Valpolicella,
Savennières,
Burgenland,
Thermenregion,
Touraine Mesland,
Paso Robles,Central Coast
Kremstal,
Niagara Peninsula,
Hawke's Bay,
Casablanca Valley,
Maremma,
Willamette Valley,Willamette Valley
Alsace,
Toscana,
Ben Lomond Mountain,Central Coast
Willamette Valley,Willamette Valley
Arroyo Seco,Central Coast
Stellenbosch,
Catalunya,
Oakville,Napa
Robertson,
Mendocino,Mendocino/Lake Counties
Carignano del Sulcis,
Judean Hills,
Rheinhessen,
Macedonia,
Rioja,
Willamette Valley,Willamette Valley
Santa Barbara County,Central Coast
Priorat,
Nuragus di Cagliari,
Willamette Valley,Willamette Valley
Livermore Valley,Central Coast
Willamette Valley,Willamette Valley
Vermentino di Sardegna,
Willamette Valley,Willamette Valley
Puglia,
Contra Costa County,Central Coast
Alto Adige,
Napa Valley,Napa
Margaret River,
Penedès,
Paso Robles,Central Coast
Amador County,Sierra Foothills
Mosel-Saar-Ruwer,
Sonoma County,Sonoma
Casablanca Valley,
Niederösterreich,
Rapel Valley,
Mendocino County,Mendocino/Lake Counties
Cafayate,
Long Island,Long Island
Mendoza,
South Eastern Australia,
Shenandoah Valley (CA),Sierra Foothills
Paso Robles,Central Coast
Sonoma County,Sonoma
North Fork of Long Island,Long Island
Coteaux du Languedoc,
Alsace,
Rapel Valley,
Côtes de Provence,
Augusta,
Knights Valley,Sonoma
Limarí Valley,
Bourgogne,
Sonoma County,Sonoma
Salento,
Chablis,
Carignano del Sulcis,
Irpinia,
Margaret River,
Guenoc Valley,Mendocino/Lake Counties
Chablis,
McLaren Vale,
Barossa Valley,
Willamette Valley,Willamette Valley
Valli di Porto Pino,
Mendoza,
Chablis,
Fiano di Avellino,
Isola dei Nuraghi,
Alghero,
Russian River Valley,Sonoma
Napa Valley,Napa
Chablis,
Willamette Valley,Willamette Valley
Robertson,
Rubicone,
Colchagua Valley,
Maipo Valley,
Santa Maria Valley,Central Coast
Elqui Valley,
California,California Other
Marlborough,
Mendocino,Mendocino/Lake Counties
El Dorado,Sierra Foothills
Napa Valley,Napa
Paso Robles,Central Coast
California,California Other
Colchagua Valley,
Monterey,Central Coast
Maipo Valley,
Sta. Rita Hills,Central Coast
Central Coast,Central Coast
Dolcetto d'Alba,
El Dorado,Sierra Foothills
Piedmont,
Napa Valley,Napa
Santa Barbara County,Central Coast
Santa Barbara County,Central Coast
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Curicó Valley,
Maipo Valley,
Sierra Foothills,Sierra Foothills
El Dorado,Sierra Foothills
Côtes de Provence,
Columbia Valley (WA),Columbia Valley
Sonoma Valley,Sonoma
Côtes de Provence,
Marlborough,
Amarone della Valpolicella Classico,
Columbia Valley (WA),Columbia Valley
Salta,
Isonzo del Friuli,
Venezia Giulia,
McLaren Vale,
Montepulciano d'Abruzzo Colline Teramane,
Champagne,
Champagne,
Champagne,
Champagne,
Finger Lakes,Finger Lakes
Santa Barbara County,Central Coast
San Benito County,Central Coast
Champagne,
Luján de Cuyo,
Rosso Conero,
Collio,
Verdicchio dei Castelli di Jesi Classico Superiore,
Yakima Valley,Columbia Valley
Cornas,
Saint-Joseph,
Crozes-Hermitage,
Rioja,
Red Hills Lake County,Mendocino/Lake Counties
Santa Ynez Valley,Central Coast
Graves,
Costières de Nîmes,
Willamette Valley,Willamette Valley
Ribera del Duero,
Saint-Péray,
Napa Valley,Napa
Willamette Valley,Willamette Valley
Napa Valley,Napa
Saint-Péray,
Russian River Valley,Sonoma
Mendoza,
Calaveras County,Sierra Foothills
Sonoma County,Sonoma
Tupungato,
Mendoza,
Tupungato,
Monterey County,Central Coast
Sonoma County,Sonoma
Aconcagua Valley,
Monterey County,Central Coast
Toscana,
Bolgheri Superiore,
Toscana,
Bolgheri Sassicaia,
Toscana,
Rioja,
Toscana,
Toscana,
Maremma,
Toscana,
Paso Robles,Central Coast
Sant'Antimo,
Bolgheri Superiore,
Toscana,
Cortona,
South Eastern Australia,
South Eastern Australia,
Sta. Rita Hills,Central Coast
Val di Cornia Suvereto,
Baden,
La Mancha,
Jumilla,
Barolo,
Mosel-Saar-Ruwer,
Saumur-Champigny,
Garda,
Judean Hills,
Val di Cornia Suvereto,
Dry Creek Valley,Sonoma
Galilee,
Saumur,
Chalk Hill,Sonoma
Chinon,
Carignano del Sulcis,
Willamette Valley,Willamette Valley
Marlborough,
Willamette Valley,Willamette Valley
Yamhill-Carlton District,Willamette Valley
Alsace,
Hawke's Bay,
Columbia Valley (WA),Columbia Valley
Anderson Valley,Mendocino/Lake Counties
Ben Lomond Mountain,Central Coast
Paso Robles,Central Coast
Vin de Pays d'Oc,
Tavel,
Mendocino,Mendocino/Lake Counties
Western Cape,
Willamette Valley,Willamette Valley
Veneto,
Russian River Valley,Sonoma
Burgenland,
Amarone della Valpolicella Classico,
Amarone della Valpolicella Classico,
Burgenland,
Amarone della Valpolicella,
Amarone della Valpolicella Classico,
Neusiedlersee,
Burgenland,
Amarone della Valpolicella Classico,
Paso Robles,Central Coast
Arroyo Seco,Central Coast
Burgenland,
Amarone della Valpolicella Classico,
Niederösterreich,
Burgenland,
Sancerre,
Napa Valley,Napa
Arroyo Seco,Central Coast
Amarone della Valpolicella Classico,
Livermore Valley,Central Coast
Toscana,
Piedmont,
Casablanca Valley,
Alsace,
Paso Robles,Central Coast
Lodi,Central Valley
Santa Barbara County,Central Coast
Vin de Pays d'Oc,
Cole Ranch,Mendocino/Lake Counties
San Juan,
Jahant,Central Valley
Alsace,
Alsace,
New Mexico,
Virginia,
Maipo Valley,
Redwood Valley,Mendocino/Lake Counties
Lodi,Central Valley
Willamette Valley,Willamette Valley
Moscato di Pantelleria,
Adelaide,
Fiano di Avellino,
Sta. Rita Hills,Central Coast
Rías Baixas,
Chablis,
Dry Creek Valley,Sonoma
South Australia,
Chablis,
Chablis,
Napa Valley,Napa
Willamette Valley,Willamette Valley
Alexander Valley,Sonoma
Langhorne Creek,
Jerez,
Isola dei Nuraghi,
Priorat,
Chablis,
Barossa Valley,
Columbia Gorge (OR),Oregon Other
Sta. Rita Hills,Central Coast
Dominio de Valdepusa,
Wrattonbully,
Clare Valley,
Barossa-Langhorne Creek,
Vi de la Terra Illes Balears,
Maule Valley,
Colchagua Valley,
California,California Other
Monterey,Central Coast
Limarí Valley,
Maipo Valley,
Casablanca Valley,
Santa Maria Valley,Central Coast
Alexander Valley,Sonoma
Maipo Valley,
Central Valley,
Contra Costa County,Central Coast
Yakima Valley,Columbia Valley
Paso Robles,Central Coast
Carneros,Napa-Sonoma
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Colchagua Valley,
Sonoma Valley,Sonoma
Bergerac Sec,
El Dorado,Sierra Foothills
Walla Walla Valley (WA),Columbia Valley
Barbera d'Asti,
Coteaux Varois,
Barbera d'Alba,
Napa Valley,Napa
Western Cape,
Happy Canyon of Santa Barbara,Central Coast
Yarra Valley,
Colchagua Valley,
California,California Other
Walker Bay,
Verdicchio dei Castelli di Jesi Classico Superiore,
Oakville,Napa
Carneros,Napa-Sonoma
Yakima Valley,Columbia Valley
Napa Valley,Napa
Edna Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Colline Teatine,
Mendoza,
Okanagan Valley,
Carneros,Napa-Sonoma
Verdicchio dei Castelli di Jesi Classico Superiore,
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Tokaji,
Trebbiano d'Abruzzo,
Champagne,
Calchaquí Valley,
Rosso Conero,
Grand River Valley,
Champagne,
Mendoza,
Alto Adige,
Veronese,
Gattinara,
Rioja,
Lisboa,
McLaren Vale,
Douro,
McMinnville,Willamette Valley
Saint-Joseph,
Galilee,
Lisboa,
Alentejano,
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Bolgheri Superiore,
Toscana,
Toscana,
Maremma,
Toscana,
Monterey County,Central Coast
Diamond Mountain District,Napa
Toscana,
Toscana,
Toscana,
Bolgheri,
Toscana,
Bolgheri Superiore,
Toscana,
Toscana,
Terras do Sado,
Toscana,
Toscana,
Carneros,Napa-Sonoma
Toscana,
Toscana,
Alexander Valley,Sonoma
Toscana,
Burgenland,
Amarone della Valpolicella Valpantena,
Anjou,
Mosel-Saar-Ruwer,
Santa Lucia Highlands,Central Coast
Santa Lucia Highlands,Central Coast
Central Coast,Central Coast
Santa Cruz Mountains,Central Coast
Dry Creek Valley,Sonoma
Rheinhessen,
Anjou,
Sonoma County,Sonoma
Burgenland,
Russian River Valley,Sonoma
Kamptal,
Burgenland,
Anderson Valley,Mendocino/Lake Counties
Neusiedlersee-Hügelland,
Mittelburgenland,
Coteaux du Layon,
Napa Valley,Napa
Mendoza,
Alsace,
Mendocino Ridge,Mendocino/Lake Counties
Maipo Valley,
Alsace,
Shenandoah Valley (CA),Sierra Foothills
Salento,
Alsace,
Napa Valley,Napa
Maule Valley,
Mendoza,
Livermore Valley,Central Coast
Virginia,
North Coast,North Coast
California,California Other
Burgenland,
Salice Salentino,
Shenandoah Valley (CA),Sierra Foothills
Alsace,
Maule Valley,
Santa Barbara County,Central Coast
Shenandoah Valley (CA),Sierra Foothills
Napa Valley,Napa
Clarendon,
California,California Other
Chalk Hill,Sonoma
Clarendon,
Napa Valley,Napa
Barossa,
Rutherford,Napa
Russian River Valley,Sonoma
Central Coast,Central Coast
Napa Valley,Napa
Napa Valley,Napa
Trento,
Rutherford,Napa
Santa Lucia Highlands,Central Coast
Alexander Valley,Sonoma
Napa Valley,Napa
South Australia,
Clarendon,
Napa Valley,Napa
Santa Ynez Valley,Central Coast
Clarendon,
Rutherford,Napa
Napa Valley,Napa
South Australia,
Chablis,
Langhorne Creek,
Emporadà-Costa Brava,
Chablis,
Lodi,Central Valley
Chablis,
Barossa Valley,
Uco Valley,
Murgia,
Willamette Valley,Willamette Valley
Coonawarra,
Coonawarra,
Contea di Sclafani,
Penedès,
Isola dei Nuraghi,
McLaren Vale,
Chablis,
Russian River Valley,Sonoma
Margaret River,
Yarra Valley,
Columbia Gorge (OR),Oregon Other
Russian River Valley,Sonoma
Côtes de Provence,
Central Valley,
Maipo Valley,
Paso Robles,Central Coast
Marlborough,
Barbera d'Asti,
Lodi,Central Valley
Lontué Valley,
Bergerac,
Amador County,Sierra Foothills
Napa Valley,Napa
Central Coast,Central Coast
Lodi,Central Valley
Marlborough,
Sonoma County,Sonoma
Hunter Valley,
Marlborough,
Marlborough,
McLaren Vale,
Coteaux Varois,
Colchagua Valley,
Robertson,
Napa Valley,Napa
Amarone della Valpolicella Classico,
Rosso Conero,
McLaren Vale,
Sonoma Valley,Sonoma
Amarone della Valpolicella Classico,
Zonda Valley,
Mendoza,
Marlborough,
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Alto Adige,
Champagne,
Champagne,
Santa Maria Valley,Central Coast
Alexander Valley,Sonoma
Paso Robles,Central Coast
Curicó Valley,
Colchagua Valley,
Curicó Valley,
Casablanca Valley,
Central Valley,
Sonoma County,Sonoma
Columbia Valley (WA),Columbia Valley
Oakville,Napa
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Mendoza,
Russian River Valley,Sonoma
Mendoza,
Russian River Valley,Sonoma
Red Mountain,Columbia Valley
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Toro,
Russian River Valley,Sonoma
Mendoza,
Walla Walla Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Horse Heaven Hills,Columbia Valley
Santa Barbara County,Central Coast
Russian River Valley,Sonoma
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Stellenbosch,
Champagne,
Arroyo Grande Valley,Central Coast
Champagne,
Champagne,
Champagne,
Champagne,
Champagne,
Paarl,
Champagne,
Champagne,
Edna Valley,Central Coast
Napa Valley,Napa
Cederberg,
Champagne,
Champagne,
Arroyo Grande Valley,Central Coast
Madeira,
Sonoma Valley,Sonoma
Champagne,
Champagne,
Margaux,
Rioja,
Barbaresco,
Port,
Châteauneuf-du-Pape,
Ribera del Duero,
Valencia,
Bairrada,
Piave,
Dry Creek Valley,Sonoma
Dry Creek Valley,Sonoma
Dolcetto d'Alba,
Piave,
Saint-Émilion,
Châteauneuf-du-Pape,
Ilias,
Cortona,
Toro,
Russian River Valley,Sonoma
Dry Creek Valley,Sonoma
Toscana,
Rioja,
Toscana,
Sant'Antimo,
Toro,
St. Helena,Napa
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Sonoma County,Sonoma
Toscana,
Russian River Valley,Sonoma
Sonoma County,Sonoma
Toscana,
Montescudaio,
Toscana,
Napa Valley,Napa
Sant'Antimo,
Toscana,
Toscana,
Toscana,
Toscana,
South Australia,
Sonoma Coast,Sonoma
Clements Hills,Central Valley
New Mexico,
Mendoza,
Missouri,
New Mexico,
Shenandoah Valley (CA),Sierra Foothills
Virginia,
Pennsylvania,
Redwood Valley,Mendocino/Lake Counties
Russian River Valley,Sonoma
California,California Other
Shenandoah Valley (CA),Sierra Foothills
Barossa Valley,
San Jose,
Juanico,
Canelones,
El Colorado,
Canelones,
Juanico,
Colonia,
San Jose,
Colonia,
Atlantida,
Ribera del Duero,
Kremstal,
Amarone della Valpolicella Classico,
Kamptal,
Neuquén,
Sancerre,
Amarone della Valpolicella Classico,
Thermenregion,
Kremstal,
Carnuntum,
Rheingau,
Burgenland,
York Mountain,Central Coast
Mosel-Saar-Ruwer,
Russian River Valley,Sonoma
Edna Valley,Central Coast
Coteaux du Layon,
Crémant de Loire,
Mendoza,
Amarone della Valpolicella Valpantena,
Arroyo Seco,Central Coast
Mendoza,
Burgenland,
Carneros,Napa-Sonoma
Napa Valley,Napa
McLaren Vale,
Chalone,Central Coast
Napa Valley,Napa
Champagne,
Río Negro Valley,
Napa Valley,Napa
McLaren Vale,
Chalk Hill,Sonoma
Napa Valley,Napa
Santa Lucia Highlands,Central Coast
Alexander Valley,Sonoma
Rockpile,Sonoma
Clarendon,
Alexander Valley,Sonoma
Rutherford,Napa
Napa Valley,Napa
Mendocino Ridge,Mendocino/Lake Counties
Russian River Valley,Sonoma
Napa,
Clare Valley,
Napa Valley,Napa
Santa Ynez Valley,Central Coast
Santa Barbara County,Central Coast
Alexander Valley,Sonoma
Carneros,Napa-Sonoma
Carneros,Napa-Sonoma
Río Negro Valley,
Rueda,
Sant' Agata dei Goti,
Sta. Rita Hills,Central Coast
Adelaide Hills,
Willamette Valley,Willamette Valley
Sonoma County,Sonoma
Luján de Cuyo,
Mendoza,
Chablis,
Fiano di Avellino,
Santa Barbara County,Central Coast
Chablis,
Chablis,
Rías Baixas,
Carignano del Sulcis,
Chablis,
Contessa Entellina,
McLaren Vale,
Ribbon Ridge,Willamette Valley
Marsala,
Willamette Valley,Willamette Valley
Tupungato,
Luján de Cuyo,
Greco di Tufo,
Napa Valley,Napa
Paso Robles,Central Coast
Champagne,
Champagne,
Paso Robles,Central Coast
McLaren Vale,
Napa Valley,Napa
Lodi,Central Valley
Sonoma County,Sonoma
Champagne,
Napa Valley,Napa
Umbria,
Maipo Valley,
Santa Clara Valley,Central Coast
Columbia Valley (WA),Columbia Valley
El Dorado,Sierra Foothills
Piedmont,
Barbera d'Asti Superiore,
Adelaide Hills,
Casablanca Valley,
Dry Creek Valley,Sonoma
Lodi,Central Valley
Santa Barbara County,Central Coast
Sonoma Valley,Sonoma
Lodi,Central Valley
Lodi,Central Valley
Washington,Washington Other
El Dorado,Sierra Foothills
Champagne,
Champagne,
Champagne,
Champagne,
Paarl,
Madeira,
Mendocino,Mendocino/Lake Counties
Madeira,
Stellenbosch,
Champagne,
Champagne,
Mendoza,
Champagne,
Champagne,
Edna Valley,Central Coast
Paso Robles,Central Coast
Stellenbosch,
Simonsberg-Stellenbosch,
Stellenbosch,
Sta. Rita Hills,Central Coast
Napa,
Stags Leap District,Napa
Mosel-Saar-Ruwer,
Columbia Valley (WA),Columbia Valley
Santa Maria Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Mendoza,
Central Coast,Central Coast
Faugères,
Walla Walla Valley (WA),Columbia Valley
Wahluke Slope,Columbia Valley
Columbia Valley (WA),Columbia Valley
Edna Valley,Central Coast
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Walla Walla Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Sta. Rita Hills,Central Coast
Santa Barbara County,Central Coast
Alexander Valley,Sonoma
Toro,
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Tokaji,
Rockpile,Sonoma
Nemea,
Crozes-Hermitage,
Douro,
Sonoma Coast,Sonoma
Châteauneuf-du-Pape,
Russian River Valley,Sonoma
Douro,
Ribatejano,
Willamette Valley,Willamette Valley
Chehalem Mountains,Willamette Valley
Willamette Valley,Willamette Valley
Ribbon Ridge,Willamette Valley
Rioja,
Campo de Borja,
Peloponnese,
Cephalonia,
Napa Valley,Napa
Ribera del Duero,
Willamette Valley,Willamette Valley
Franciacorta,
Mosel-Saar-Ruwer,
Alentejano,
Vino de la Tierra de Castilla y León,
Bolgheri,
Toscana,
Alexander Valley,Sonoma
Toscana,
Toscana,
Toscana,
Toscana,
Mendocino,Mendocino/Lake Counties
Maremma,
Napa Valley,Napa
Toscana,
Sant'Antimo,
Toscana,
Bolgheri Superiore,
Bolgheri,
Bolgheri Superiore,
Maremma,
Maremma,
Rioja,
Rioja,
Toscana,
Toscana,
Ribera del Duero,
Toscana,
Maremma,
Toscana,
Toscana,
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Napa Valley,Napa
Knights Valley,Sonoma
Ribera del Duero,
Ribbon Ridge,Willamette Valley
Rutherford,Napa
Rutherford,Napa
St. Helena,Napa
Sonoma Coast,Sonoma
Rutherford,Napa
Howell Mountain,Napa
Napa,
Dundee Hills,Willamette Valley
Rutherford,Napa
Napa Valley,Napa
Rutherford,Napa
Russian River Valley,Sonoma
Dundee Hills,Willamette Valley
Toro,
Rutherford,Napa
Russian River Valley,Sonoma
Edna Valley,Central Coast
Eola-Amity Hills,Willamette Valley
Burgenland,
Burgenland,
Mittelburgenland,
Russian River Valley,Sonoma
Mendoza,
Burgenland,
Burgenland,
Burgenland,
Russian River Valley,Sonoma
Anjou,
Finger Lakes,Finger Lakes
Amarone della Valpolicella Classico,
Coteaux du Layon,
Napa Valley,Napa
Alexander Valley,Sonoma
Russian River Valley,Sonoma
Thermenregion,
Carneros,Napa-Sonoma
Tupungato,
Donauland,
Tulum Valley,
Piedmont,
Amarone della Valpolicella Classico,
Halkidiki,
Santa Cruz Mountains,Central Coast
Alexander Valley,Sonoma
Napa Valley,Napa
Napa Valley,Napa
Barossa Valley,
Russian River Valley,Sonoma
Oak Knoll District,Napa
Napa Valley,Napa
Russian River Valley,Sonoma
Barossa Valley,
Santa Ynez Valley,Central Coast
Alexander Valley,Sonoma
Rutherford,Napa
Russian River Valley,Sonoma
Martinborough,
Santa Lucia Highlands,Central Coast
Clarendon,
Champagne,
Santa Lucia Highlands,Central Coast
Alexander Valley,Sonoma
Rutherford,Napa
Santa Maria Valley,Central Coast
Napa Valley,Napa
Hawke's Bay,
Vi de la Terra Illes Balears,
Catalunya,
Penedès,
Western Australia,
Willamette Valley,Willamette Valley
Paso Robles,Central Coast
Campania,
Willamette Valley,Willamette Valley
Emporadà-Costa Brava,
Alexander Valley,Sonoma
Sonoma Valley,Sonoma
Chablis,
South Australia,
Dominio de Valdepusa,
Columbia Gorge (OR),Oregon Other
Rogue Valley,Southern Oregon
Sicilia,
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Champagne,
Champagne,
Sta. Rita Hills,Central Coast
Champagne,
Champagne,
Douro,
Robertson,
Sonoma County,Sonoma
Champagne,
Champagne,
Sta. Rita Hills,Central Coast
Russian River Valley,Sonoma
Waipara Valley,
Champagne,
Redwood Valley,Mendocino/Lake Counties
Champagne,
Napa Valley,Napa
Santa Barbara County,Central Coast
Champagne,
Champagne,
Champagne,
Stellenbosch,
Sta. Rita Hills,Central Coast
Mendoza,
Columbia Valley (WA),Columbia Valley
Finger Lakes,Finger Lakes
Horse Heaven Hills,Columbia Valley
Paso Robles,Central Coast
Walla Walla Valley (WA),Columbia Valley
Champagne,
Santa Barbara County,Central Coast
Sta. Rita Hills,Central Coast
McLaren Vale,
North Coast,North Coast
Marlborough,
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Yolo County,Central Valley
Mendoza,
Santa Lucia Highlands,Central Coast
Washington,Washington Other
Niagara Peninsula,
Calchaquí Valley,
Carneros,Napa-Sonoma
Mendoza,
Anderson Valley,Mendocino/Lake Counties
Russian River Valley,Sonoma
Red Mountain,Columbia Valley
Luján de Cuyo,
Sta. Rita Hills,Central Coast
Columbia Valley (WA),Columbia Valley
Mosel-Saar-Ruwer,
Tokaji,
Padthaway,
Napa Valley,Napa
Russian River Valley,Sonoma
Santa Barbara County,Central Coast
Rheingau,
Mendoza,
Mosel-Saar-Ruwer,
Rattlesnake Hills,Columbia Valley
Central Coast,Central Coast
Toro,
Horse Heaven Hills,Columbia Valley
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Barossa,
Mosel-Saar-Ruwer,
Santa Barbara County,Central Coast
Alexander Valley,Sonoma
Maipo Valley,
Central Valley,
Marlborough,
Margaux,
Sauternes,
Pauillac,
Barsac,
Saint-Émilion,
Pomerol,
Pauillac,
Barsac,
Pauillac,
Saint-Julien,
Sauternes,
Saint-Julien,
Sauternes,
Sauternes,
Saint-Émilion,
Pomerol,
Sauternes,
Côtes du Rhône,
Estremadura,
Applegate Valley,Southern Oregon
Chalk Hill,Sonoma
Saint-Émilion,
Douro,
Barbaresco,
Chehalem Mountains,Willamette Valley
Rioja,
Douro,
Fara,
Yamhill-Carlton District,Willamette Valley
Gattinara,
Langhe,
Fiano di Avellino,
Dry Creek Valley,Sonoma
Dry Creek Valley,Sonoma
Douro,
Franciacorta,
Pangeon,
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Toscana,
Sant'Antimo,
Toscana,
Toscana,
Val di Cornia Suvereto,
Toscana,
Rheingau,
Douro,
Toscana,
Jerez,
Pemberton,
Toscana,
Pla de Bages,
Rheingau,
Sonoma Valley,Sonoma
Sant'Antimo,
